date,station,tobs
2017-01-03,USC00519523,73.0
2017-01-03,USC00519397,63.0
2017-01-03,USC00519281,64.0
2017-01-03,USC00514830,70.0
2017-01-03,USC00513117,65.0
2017-01-04,USC00519397,62.0
2017-01-04,USC00514830,71.0
2017-01-04,USC00519523,73.0
2017-01-04,USC00513117,64.0
2017-01-04,USC00516128,70.0
2017-01-04,USC00519281,63.0
2017-01-05,USC00513117,65.0
2017-01-05,USC00519397,63.0
2017-01-05,USC00516128,71.0
2017-01-05,USC00519281,63.0
2017-01-05,USC00519523,71.0
2017-01-05,USC00514830,72.0
2017-01-06,USC00514830,71.0
2017-01-06,USC00513117,70.0
2017-01-06,USC00519281,62.0
2017-01-06,USC00519397,64.0
2017-01-06,USC00519523,74.0
2017-01-06,USC00516128,65.0
2017-01-07,USC00513117,72.0
2017-01-07,USC00519397,66.0
2017-01-07,USC00519523,72.0
2017-01-07,USC00514830,71.0
2017-01-07,USC00516128,70.0
2017-01-07,USC00519281,70.0
2017-01-08,USC00514830,74.0
2017-01-08,USC00519523,74.0
2017-01-08,USC00519397,60.0
2017-01-08,USC00519281,70.0
2017-01-08,USC00516128,66.0
2017-01-08,USC00513117,62.0
2017-01-09,USC00514830,72.0
2017-01-09,USC00519397,64.0
2017-01-09,USC00513117,65.0
2017-01-09,USC00519281,62.0
2017-01-09,USC00516128,69.0
2017-01-09,USC00519523,77.0
2017-01-09,USC00517948,65.0
2017-01-10,USC00519281,62.0
2017-01-10,USC00513117,66.0
2017-01-10,USC00516128,64.0
2017-01-10,USC00519523,75.0
2017-01-10,USC00517948,65.0
2017-01-10,USC00519397,63.0
2017-01-10,USC00514830,72.0
2017-01-11,USC00519281,63.0
2017-01-11,USC00519397,78.0
2017-01-11,USC00514830,76.0
2017-01-11,USC00513117,66.0
2017-01-11,USC00517948,67.0
2017-01-11,USC00516128,66.0
2017-01-12,USC00519523,81.0
2017-01-12,USC00516128,68.0
2017-01-12,USC00519281,65.0
2017-01-12,USC00519397,67.0
2017-01-12,USC00517948,67.0
2017-01-12,USC00513117,67.0
2017-01-13,USC00519281,69.0
2017-01-13,USC00517948,68.0
2017-01-13,USC00516128,67.0
2017-01-13,USC00513117,70.0
2017-01-13,USC00519397,67.0
2017-01-13,USC00514830,75.0
2017-01-14,USC00513117,66.0
2017-01-14,USC00516128,70.0
2017-01-14,USC00519397,65.0
2017-01-14,USC00519281,77.0
2017-01-14,USC00514830,77.0
2017-01-15,USC00513117,67.0
2017-01-15,USC00516128,68.0
2017-01-15,USC00519523,78.0
2017-01-15,USC00519281,70.0
2017-01-15,USC00519397,66.0
2017-01-16,USC00519523,80.0
